model_name,split_idx,n_splits,random_state,fit_time,test_size,test_mse,train_mse
xgb-d3-o20,0,10,1377,171.61980056762698,0.15,0.2120076731408563,0.0826874787872693
xgb-d1-o20,0,10,1377,710.402899980545,0.15,0.3134312305391507,0.2756622824377966
xgb-d3-o20,1,10,1377,190.31479477882385,0.15,0.2220232670147084,0.0803337822832048
xgb-d1-o20,1,10,1377,185.63637161254883,0.15,0.3359451893042535,0.2750925614441926
xgb-d3-o20,2,10,1377,196.6377048492432,0.15,0.2088900902770722,0.0842132834118553
xgb-d1-o20,2,10,1377,188.38700819015503,0.15,0.3052069362778871,0.2802135876273318
xgb-d3-o20,3,10,1377,318.4532597064972,0.15,0.1816447606162881,0.0838695644152081
xgb-d1-o20,3,10,1377,349.96748185157776,0.15,0.2882114445858747,0.2822504225493669
xgb-d3-o20,4,10,1377,207.71517968177795,0.15,0.21918356481796,0.0710005721716674
xgb-d1-o20,4,10,1377,315.85164046287537,0.15,0.3158311428565137,0.2760295805968747
xgb-d3-o20,5,10,1377,304.6474115848541,0.15,0.1993717149138593,0.0823558425297099
xgb-d1-o20,5,10,1377,315.6492297649384,0.15,0.2917286689062769,0.2804696043482018
xgb-d3-o20,6,10,1377,245.89091229438785,0.15,0.2121692631993545,0.0886192741744895
xgb-d1-o20,6,10,1377,268.0510625839233,0.15,0.3121987622802779,0.2794120127727434
xgb-d3-o20,7,10,1377,342.5272080898285,0.15,0.2194107687198554,0.0814606394591293
xgb-d1-o20,7,10,1377,316.6879184246063,0.15,0.3136655616746117,0.2783155620520887
xgb-d3-o20,8,10,1377,230.16735887527463,0.15,0.1897259567613389,0.0909027369677274
xgb-d1-o20,8,10,1377,296.9881029129028,0.15,0.2931685947736639,0.2821601418917347
xgb-d3-o20,9,10,1377,378.44818139076233,0.15,0.204336135782124,0.0789255480810928
xgb-d1-o20,9,10,1377,368.539717912674,0.15,0.308545189476698,0.2805832128910049
rf-n1000,0,10,1377,404.9293041229248,0.15,0.2558530296657037,0.0332051455149554
mlr,0,10,1377,1.6371800899505615,0.15,0.4978513160212608,0.4594573671518513
lr,0,10,1377,0.8037827014923096,0.15,0.5229202474181953,0.5248557468042662
ilr,0,10,1377,15.21418070793152,0.15,0.3829751240303868,0.322501619353669
spline,0,10,1377,40.48506474494935,0.15,0.4545591233082942,0.3624165359736109
rf-n1000,1,10,1377,400.1923224925995,0.15,0.2640161491965436,0.0330772644522678
mlr,1,10,1377,2.319361448287964,0.15,0.5081480343767251,0.457958461964031
lr,1,10,1377,0.7158291339874268,0.15,0.5611119357071171,0.5179796664375279
ilr,1,10,1377,9.461438179016112,0.15,0.3836403707965005,0.3237830308676872
spline,1,10,1377,4.494237422943115,0.15,0.4066356703119345,0.3600678876775071
rf-n1000,2,10,1377,430.14875078201294,0.15,0.2601640311567342,0.0338696911228942
mlr,2,10,1377,1.780102252960205,0.15,0.4668053137118363,0.4651495896324549
lr,2,10,1377,0.5100183486938477,0.15,0.5106123101159136,0.5268399322877193
ilr,2,10,1377,11.862456798553469,0.15,0.3689379333318084,0.3272016166228128
spline,2,10,1377,4.816580533981323,0.15,0.3602907729359489,0.3670443905459541
rf-n1000,3,10,1377,407.3129627704621,0.15,0.2137106813032804,0.0343327128526735
mlr,3,10,1377,1.0311563014984129,0.15,0.4604381111732194,0.4680244173844378
lr,3,10,1377,0.4228262901306152,0.15,0.4966332728283498,0.5293281255438058
ilr,3,10,1377,10.658975362777712,0.15,0.3573659085840754,0.3286400752352942
spline,3,10,1377,5.384604454040527,0.15,0.3612192247931643,0.367492208626511
rf-n1000,4,10,1377,236.55139541625977,0.15,0.2736744298404677,0.032689603429435
mlr,4,10,1377,1.0878245830535889,0.15,0.4996072980681902,0.4596324184597126
lr,4,10,1377,0.9494779109954834,0.15,0.5715593073522998,0.5477639164256239
ilr,4,10,1377,9.057252883911133,0.15,0.3904124780368453,0.3222546574690426
spline,4,10,1377,4.076410293579103,0.15,8.497361544062821,0.3648202199298861
rf-n1000,5,10,1377,183.8832411766052,0.15,0.2368428954577117,0.0340421689889231
mlr,5,10,1377,1.0840024948120115,0.15,0.4488530308643767,0.4682214157867363
lr,5,10,1377,0.4123058319091797,0.15,0.5099500223683971,0.5289246061477261
ilr,5,10,1377,6.614481925964356,0.15,0.3467039613288985,0.3295887188595348
spline,5,10,1377,3.1074042320251465,0.15,0.5082545956372406,0.3708373649939236
rf-n1000,6,10,1377,187.1451861858368,0.15,0.2578216115186392,0.033630544513701
mlr,6,10,1377,1.0151927471160889,0.15,0.4760221356372722,0.4625484677182643
lr,6,10,1377,0.6355302333831787,0.15,0.5727848394674893,0.5170947383181739
ilr,6,10,1377,6.839129686355591,0.15,0.3717234550905097,0.3238516554399881
spline,6,10,1377,4.811141729354858,0.15,0.4538097621687277,0.3615846527552847
rf-n1000,7,10,1377,185.99484753608704,0.15,0.2556466913973883,0.0331282874296255
mlr,7,10,1377,1.1756787300109863,0.15,0.4942873245167434,0.459403810291875
lr,7,10,1377,1.3892374038696291,0.15,0.5276596787199842,0.5238685775833066
ilr,7,10,1377,8.258641958236693,0.15,0.3878819398173393,0.3222693403831921
spline,7,10,1377,2.985435485839844,0.15,0.382011586731024,0.3637594125613955
rf-n1000,8,10,1377,376.5592727661133,0.15,0.2348172992388498,0.0336236409726033
mlr,8,10,1377,2.0936429500579834,0.15,0.4567772770665006,0.4676034567200004
lr,8,10,1377,0.5099189281463623,0.15,0.4927661712951013,0.5299893200747612
ilr,8,10,1377,12.083617687225342,0.15,0.3546444574979818,0.3277284834494144
spline,8,10,1377,4.428670406341553,0.15,0.4797555530748343,0.3682692600175997
rf-n1000,9,10,1377,436.9222710132599,0.15,0.2415343498774437,0.033504941433541
mlr,9,10,1377,1.7686982154846191,0.15,0.5048252373982133,0.4609175764415611
lr,9,10,1377,0.6561944484710693,0.15,0.5532064961770283,0.5193792651440571
ilr,9,10,1377,11.184548139572144,0.15,0.3839819852035034,0.3238063785623383
spline,9,10,1377,4.79460883140564,0.15,0.3823743445076838,0.362300091702027
xgb-d3,0,10,1377,0.8525078296661377,0.15,0.276640136969097,0.1969112993221144
xgb-d3,1,10,1377,0.939711570739746,0.15,0.302066190083352,0.1813380313797538
xgb-d3,2,10,1377,0.7987391948699951,0.15,0.2647956458561381,0.1817405896071859
xgb-d3,3,10,1377,0.7425315380096436,0.15,0.253492913021668,0.205477498363637
xgb-d3,4,10,1377,0.6632740497589111,0.15,0.2864129534648592,0.2208779770522358
xgb-d3,5,10,1377,0.8800644874572754,0.15,0.2817741014697985,0.2040863482435719
xgb-d3,6,10,1377,0.7123136520385742,0.15,0.2765364975873991,0.2085864338609056
xgb-d3,7,10,1377,0.7071743011474609,0.15,0.2785468677688845,0.1999418520404614
xgb-d3,8,10,1377,0.5883800983428955,0.15,0.2581913184126941,0.2139024488727059
xgb-d3,9,10,1377,0.7141089439392091,0.15,0.2741001656224048,0.2072923288383781
xgb-d1-o20-cv,0,5,1377,42.11323595046997,0.15,0.3171238004731879,0.2769580347442723
ebm-o50-i50,0,5,1377,64.36751675605774,0.15,0.3725953393627125,0.3301178230624973
ebm-bf-o50,0,5,1377,2.5961530208587646,0.15,0.3686388487031617,0.338905112693783
xgb-d1-o20-cv,1,5,1377,36.07967066764832,0.15,0.3412239339531339,0.2759548999718989
ebm-o50-i50,1,5,1377,56.103984117507935,0.15,0.3744428812915897,0.3309569438401383
ebm-bf-o50,1,5,1377,2.8944356441497803,0.15,0.3788675023909822,0.3405795564335753
xgb-d1-o20-cv,2,5,1377,38.36137795448303,0.15,0.3080243150591988,0.2780347383292076
